chr1;3121459;3121899
chr1;3198505;3198904
chr1;3399936;3400290
chr1;3626786;3627126
chr1;3669848;3670098
chr1;3900322;3900612
chr1;3918593;3919083
chr1;3989141;3989655
chr1;4068922;4069417
chr1;4089757;4090012
chr1;4417430;4417795
chr1;4961506;4961811
chr1;4997221;4997490
chr1;5005685;5005943
chr1;5022579;5023257
chr1;5023485;5023757
chr1;5068823;5069540
chr1;5084362;5084649
chr1;5134265;5134599
chr1;5228938;5229238
chr1;5831851;5832138
chr1;6240151;6240439
chr1;6320509;6320942
chr1;6406449;6406826
chr1;6510197;6510772
chr1;6638848;6639093
chr1;6729134;6730256
chr1;6731042;6732052
chr1;6734258;6734656
chr1;6735002;6735372
chr1;6739060;6739465
chr1;6936515;6936796
chr1;7088195;7089001
chr1;7095833;7096095
chr1;7138699;7138922
chr1;7397006;7397353
chr1;7397658;7397933
chr1;8266979;8267720
chr1;8271774;8272024
chr1;8386002;8386897
chr1;9168406;9168714
chr1;9170765;9170966
chr1;9295544;9295782
chr1;9298920;9299425
chr1;9300345;9300677
chr1;9340480;9340760
chr1;9458459;9458899
chr1;9547917;9548179
chr1;9606640;9606913
chr1;9611539;9611887
chr1;9629704;9630587
chr1;9701490;9701772
chr1;9815847;9816350
chr1;9833235;9833576
chr1;9943573;9944591
chr1;9955323;9955580
chr1;10038010;10038599
chr1;10080715;10081221
chr1;10130449;10130751
chr1;10231956;10232566
chr1;10263991;10264209
chr1;10321677;10321976
chr1;10363153;10363479
chr1;10596488;10596787
chr1;10700740;10701404
chr1;11045069;11045534
chr1;11141024;11141269
chr1;11159675;11160110
chr1;11179666;11180303
chr1;11413438;11413909
chr1;11475860;11476155
chr1;11567384;11567742
chr1;11650035;11650453
chr1;11769108;11769472
chr1;11783979;11784278
chr1;11997605;11998012
chr1;12245690;12245972
chr1;12337633;12338501
chr1;12367892;12368610
chr1;12410017;12410439
chr1;12555905;12556217
chr1;12644644;12644982
chr1;12865035;12865426
chr1;13196820;13197235
chr1;13214072;13214610
chr1;13251565;13252089
chr1;13374758;13375121
chr1;13862435;13862722
chr1;13991330;13991657
chr1;14146225;14146533
chr1;14151246;14151543
chr1;14203993;14204357
chr1;14293656;14294332
chr1;14294727;14295051
chr1;14304652;14305159
chr1;14309487;14310237
chr1;14692446;14692669
